"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT06","WT08","WT09"
"USW00026617","NOME AIRPORT, AK US","2023-01-01","17.90","0.00","19","22","12","   10","   20","36.0","42.9",,,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-02","9.62","0.00","16","20","14","  350","  350","23.0","25.9",,,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-03","7.61","0.05","17","24","16","   60","   60","16.1","21.9","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-04","4.92","0.02","24","25","6","  100","   90","14.1","17.0","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-05","6.49","0.01","11","26","2","   80","   80","15.0","18.1","    1","    1",,,
"USW00026617","NOME AIRPORT, AK US","2023-01-06","7.38","0.00","19","21","9","   90","  100","13.0","15.0","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-07","3.13","0.02","14","18","9","   60","   50","6.9","8.9","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-08","6.04","0.00","15","18","-2","   40","   40","15.0","18.1","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-09","6.49","0.00","2","12","-9","   10","  360","21.0","27.1",,,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-10","13.87","0.10","8","17","3","  350","   30","28.0","33.1","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-11","12.30","0.15","17","21","12","  100","  100","23.0","29.1","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-12","6.71","0.02","12","13","-6","  140","  140","16.1","19.9","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-13","4.92","0.00","8","12","-13","   50","   40","16.1","19.0","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-14","12.53","0.00","3","17","-9","   10","  360","21.9","25.1",,,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-15","10.51","0.03","11","18","2","   30","   30","23.0","27.1","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-16","16.11","0.00","18","22","9","   30","   30","31.1","36.0","    1",,"    1","    1","    1"
"USW00026617","NOME AIRPORT, AK US","2023-01-17","11.41","0.01","8","10","-10","  350","  350","18.1","21.9","    1",,,"    1",
"USW00026617","NOME AIRPORT, AK US","2023-01-18","9.62","0.00","-6","0","-17","  340","  360","16.1","23.0",,,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-19","1.79","0.00","-15","-11","-26","  300","  310","6.9","8.1",,,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-20","7.16","0.00","-19","-5","-27","  280","  330","17.0","21.0","    1",,,"    1",
"USW00026617","NOME AIRPORT, AK US","2023-01-21","6.93","0.00","-13","-10","-25","  290","  280","21.0","25.9",,,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-22","12.53","0.00","-16","2","-25","   10","  360","36.9","47.0",,,,"    1","    1"
"USW00026617","NOME AIRPORT, AK US","2023-01-23","8.50","0.00","-2","2","-11","   30","   70","25.9","31.1",,,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-24","11.41","0.00","-3","0","-12","   30","   50","25.1","28.0",,,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-25","8.28","0.01","-8","-1","-11","   20","   30","19.9","23.9","    1",,,"    1",
"USW00026617","NOME AIRPORT, AK US","2023-01-26","15.21","0.01","-3","7","-4","   70","   70","32.0","40.9","    1",,,"    1",
"USW00026617","NOME AIRPORT, AK US","2023-01-27","19.24","0.24","9","24","7","   80","   70","30.0","40.0","    1",,"    1",,"    1"
"USW00026617","NOME AIRPORT, AK US","2023-01-28","9.40","0.17","21","25","17","  110","  120","19.9","23.9","    1",,"    1",,
"USW00026617","NOME AIRPORT, AK US","2023-01-29","17.22","0.02","28","35","22","   90","  100","25.1","31.1","    1",,,,
"USW00026617","NOME AIRPORT, AK US","2023-01-30","11.18","0.23","30","31","20","   90","   70","23.0","27.1","    1","    1",,,
"USW00026617","NOME AIRPORT, AK US","2023-01-31","2.01","0.03","22","25","11","  250","  250","10.1","12.1","    1","    1",,,